id,nombre,tipoDocumento,documento,edad,correo,telefono,direccion,ciudad,pais,estado
1,Carlos Mendoza,CC,1023456789,28,carlos.mendoza@gmail.com,31012345670,Calle 45 #12-30,Bogotá,Colombia,Activo
2,Ana Gómez,CC,987654321,35,ana.gomez@hotmail.com,3109876540,Carrera 7 #23-10,Medellín,Colombia,Activo
3,Luis Pérez,TI,456123789,17,luis.perez@yahoo.com,32098765430,Av. El Dorado #68-10,Bogotá,Colombia,Activo
4,María Torres,CC,789456123,42,sin_correo@desconocido.com,31545678900,Calle 100 #15-20,Cali,Colombia,Activo
5,Jorge Ramírez,CC,321654987,36,jorge.ramirez@gmail.com,3154567890,Carrera 30 #45-67,Barranquilla,Colombia,Inactivo
6,Sofía Castro,CC,654987321,29,sofia.castro@outlook.com,31876543210,Calle 72 #10-15,Bogotá,Colombia,Inactivo
7,Diego Herrera,PASAPORTE,AB123456,33,diego.herrera@gmail.com,Sin Teléfono,Cra 50 #80-20,Medellín,Colombia,Activo
8,Valentina López,CC,111222333,26,valentina.lopez@gmail.com,31122233340,Calle 13 #5-40,Cali,Colombia,Activo
9,Andrés Morales,CC,444555666,51,andres.morales@hotmail.com,31445566670,Av. 68 #22-30,Bucaramanga,Colombia,Activo
10,Camila Jiménez,CC,777888999,38,camila.jimenez@gmail.com,3178889990,Calle 80 #60-10,Bogotá,Colombia,Activo
11,Felipe Rodríguez,CC,101010101,36,felipe.rodriguez@yahoo.com,31810101020,Carrera 15 #90-50,Medellín,Colombia,Activo
12,Isabella Vargas,CC,121212121,23,isabella.vargas@gmail.com,31912121220,Calle 26 #35-70,Bogotá,Colombia,Activo
13,Samuel Gutiérrez,CC,131313131,45,samuel.gutierrez@outlook.com,32013131320,Cra 9 #11-20,Medellín,Colombia,Activo
14,Mariana Díaz,CC,141414141,31,mariana.diaz@hotmail.com,Sin Teléfono,Calle 53 #28-15,Cali,Colombia,Activo
15,Tomás Álvarez,CC,151515151,27,tomas.alvarez@gmail.com,32215151520,Av. Boyacá #70-40,Barranquilla,Colombia,Inactivo
16,Laura Sánchez,CE,161616161,44,laura.sanchez@yahoo.com,32316161620,Calle 170 #12-80,Bogotá,Colombia,Activo
17,Miguel Flores,CC,171717171,36,miguel.flores@gmail.com,32417171720,Carrera 43 #5-100,Bucaramanga,Colombia,Activo
