id,nombre,tipoDocumento,documento,edad,correo,telefono,direccion,ciudad,pais,estado
1,Carlos Mendoza,CC,1023456789,28,carlos.mendoza@gmail.com,3101234567,Calle 45 #12-30,Bogotá,Colombia,activo
2,  Ana Gómez  ,CC,987654321,35,ana.gomezhotmail.com,310987654,Carrera 7 #23-10,medellín,Colombia,Activo
3,Luis Pérez,TI,456123789,17,luis.perez@yahoo.com,3209876543,Av. El Dorado #68-10,BOGOTÁ,Colombia,ACTIVO
4,María Torres,CC,789456123,42,,3154567890,Calle 100 #15-20,Cali,Colombia,activo
5,Jorge Ramírez,CC,321654987,,jorge.ramirez@gmail.com,315456789,Carrera 30 #45-67,Barranquilla,Colombia,inactivo
6,  Sofía Castro  ,CC,654987321,29,sofia.castro@outlook.com,3187654321,Calle 72 #10-15,Bogotá,Colombia,Inactivo
7,Diego Herrera,Pasaporte,AB123456,33,diego.herrera@gmail.com,,Cra 50 #80-20,Medellín,Colombia,activo
8,Valentina López,CC,111222333,26,valentina.lopezgmail.com,3112223334,Calle 13 #5-40,CALI,Colombia,ACTIVO
9,Andrés Morales,CC,444555666,51,andres.morales@hotmail.com,3144556667,Av. 68 #22-30,Bucaramanga,Colombia,activo
10,Camila Jiménez,CC,777888999,38,camila.jimenez@gmail.com,317888999,Calle 80 #60-10,Bogotá,Colombia,activo
11,Felipe Rodríguez,CC,101010101,,felipe.rodriguez@yahoo.com,3181010102,Carrera 15 #90-50,Medellín,Colombia,Activo
12,Isabella Vargas,CC,121212121,23,isabella.vargas@gmail.com,3191212122,Calle 26 #35-70,bogotá,Colombia,activo
13,  Samuel Gutiérrez  ,CC,131313131,45,samuel.gutierrezoutlook.com,3201313132,Cra 9 #11-20,MEDELLÍN,Colombia,ACTIVO
14,Mariana Díaz,CC,141414141,31,mariana.diaz@hotmail.com,,Calle 53 #28-15,Cali,Colombia,activo
15,Tomás Álvarez,CC,151515151,27,tomas.alvarez@gmail.com,3221515152,Av. Boyacá #70-40,Barranquilla,Colombia,inactivo
16,Laura Sánchez,CE,161616161,44,laura.sanchez@yahoo.com,3231616162,Calle 170 #12-80,Bogotá,Colombia,activo
17,Miguel Flores,CC,171717171,,miguel.floresgmail.com,3241717172,Carrera 43 #5-100,BUCARAMANGA,Colombia,Activo
18,Natalia Ríos,CC,181818181,36,natalia.rios@outlook.com,325181818,Calle 34 #67-20,Medellín,Colombia,activo
19,  Juan Bermúdez  ,CC,191919191,22,juan.bermudez@hotmail.com,3261919192,Av. Américas #30-15,bogotá,Colombia,ACTIVO
20,Paula Mendez,CC,202020202,55,paula.mendez@gmail.com,3272020203,Cra 27 #18-60,Cali,Colombia,activo
21,Esteban Castillo,CC,212121212,40,esteban.castillo@yahoo.com,,Calle 90 #45-30,Manizales,Colombia,inactivo
22,Daniela Ortega,CC,222222222,18,daniela.ortega@gmail.com,3292222223,Carrera 5 #70-50,CALI,Colombia,activo
23,Sebastián Cruz,TI,232323232,16,sebastian.cruzhotmail.com,3302323234,Calle 25 #80-70,Bogotá,Colombia,Activo
24,Catalina Peña,CC,241414141,33,,3311414142,Av. Las Palmas #20-40,Medellín,Colombia,activo
25,Alejandro Gómez,CC,242424242,47,alejandro.gomez@outlook.com,3322424243,Calle 11 #33-60,barranquilla,Colombia,ACTIVO
26,Valeria Reyes,CC,252525252,25,valeria.reyes@gmail.com,3332525253,Carrera 19 #88-10,Bogotá,Colombia,activo
27,  Ricardo Medina  ,CC,262626262,,ricardo.medinaygmail.com,334262626,Calle 63 #14-20,MEDELLÍN,Colombia,Inactivo
28,Gabriela Suárez,CC,272727272,30,gabriela.suarez@hotmail.com,3352727273,Av. El Poblado #5-80,Cali,Colombia,activo
29,Nicolás Torres,CC,282828282,52,nicolas.torres@gmail.com,,Cra 100 #40-20,Bogotá,Colombia,activo
30,Alejandra Ruiz,CC,292929292,21,alejandra.ruizoutlook.com,3372929293,Calle 44 #22-10,Cartagena,Colombia,ACTIVO
31,Julián Pardo,CC,303030303,38,julian.pardo@yahoo.com,3383030304,Carrera 65 #30-50,Bogotá,Colombia,activo
32,  Manuela León  ,CC,313131313,29,manuela.leon@gmail.com,3393131313,Calle 7 #9-20,CALI,Colombia,Activo
33,David Herrera,Pasaporte,CD789012,44,david.herrera@hotmail.com,3403232324,Av. Constitución #10-15,Medellín,Colombia,inactivo
34,Sara Montoya,CC,333333333,,sara.montoya@gmail.com,341333334,Calle 50 #5-30,bogotá,Colombia,activo
